Transaction_ID,User_ID,Payment_Method,Amount,Success,Timestamp
TXN00001,U1952,Credit Card,1559.28,1,2025-09-17 03:06:00
TXN00002,U8592,Credit Card,4865.19,1,2025-09-17 07:45:00
TXN00003,U7849,UPI,207.63,0,2025-09-17 06:49:00
TXN00004,U5623,Credit Card,3108.7,1,2025-09-17 09:38:00
TXN00005,U4840,Debit Card,3761.59,1,2025-09-16 21:55:00
TXN00006,U9316,Net Banking,4041.08,1,2025-09-17 00:37:00
TXN00007,U2060,Wallet,3978.61,1,2025-09-17 00:55:00
TXN00008,U5314,Net Banking,1036.16,0,2025-09-16 22:12:00
TXN00009,U6393,Net Banking,2369.01,1,2025-09-17 08:13:00
TXN00010,U1802,Credit Card,2561.53,1,2025-09-17 07:50:00
TXN00011,U4559,Wallet,3490.0,1,2025-09-16 14:38:00
TXN00012,U8904,Wallet,2929.53,1,2025-09-16 13:56:00
TXN00013,U3023,Wallet,2980.74,0,2025-09-16 21:44:00
TXN00014,U2522,UPI,3518.52,1,2025-09-17 04:18:00
TXN00015,U2560,Net Banking,790.38,1,2025-09-17 03:48:00
TXN00016,U1923,Wallet,2723.93,1,2025-09-16 18:05:00
TXN00017,U8464,Credit Card,2829.84,1,2025-09-17 03:49:00
TXN00018,U3880,Debit Card,1197.57,1,2025-09-17 08:58:00
TXN00019,U7619,Credit Card,3179.37,1,2025-09-17 00:04:00
TXN00020,U1168,Net Banking,474.78,1,2025-09-17 08:50:00
TXN00021,U4275,Debit Card,2862.07,1,2025-09-16 16:42:00
TXN00022,U4894,Net Banking,4469.2,1,2025-09-16 22:56:00
TXN00023,U1278,Net Banking,2484.54,1,2025-09-16 15:03:00
TXN00024,U2816,Net Banking,1539.94,1,2025-09-17 01:30:00
TXN00025,U7261,UPI,192.61,1,2025-09-16 20:46:00
TXN00026,U4411,Net Banking,3366.17,1,2025-09-17 08:25:00
TXN00027,U5949,Credit Card,3689.46,0,2025-09-17 08:12:00
TXN00028,U9268,UPI,1852.27,1,2025-09-17 07:48:00
TXN00029,U3146,Credit Card,1782.52,0,2025-09-16 14:43:00
TXN00030,U6546,Debit Card,3612.18,1,2025-09-16 10:07:00
TXN00031,U6264,UPI,4329.83,1,2025-09-16 22:19:00
TXN00032,U5500,Net Banking,394.05,1,2025-09-16 15:12:00
TXN00033,U8711,Credit Card,976.54,1,2025-09-16 13:31:00
TXN00034,U6322,Net Banking,619.71,1,2025-09-17 08:54:00
TXN00035,U1997,Wallet,226.21,1,2025-09-17 01:49:00
